fold,date,y_true_class,y_true_price
3,2013-11-19,0,1257
3,2013-11-20,0,1240
3,2013-11-21,0,1246.25
3,2013-11-22,1,1243
3,2013-11-25,0,1247.5
3,2013-11-26,1,1245
3,2013-11-27,0,1253
3,2013-11-29,1,1229.5
3,2013-12-02,0,1217.25
3,2013-12-03,0,1227.5
3,2013-12-04,1,1222.5
3,2013-12-05,0,1233
3,2013-12-06,1,1237
3,2013-12-09,1,1266.25
3,2013-12-10,1,1260.75
3,2013-12-11,0,1225.25
3,2013-12-12,0,1232
3,2013-12-13,1,1234.75
3,2013-12-16,1,1231.75
3,2013-12-17,0,1230.5
3,2013-12-18,0,1196
3,2013-12-19,0,1195.25
3,2013-12-20,0,1196.5
3,2013-12-24,1,1214.5
3,2013-12-27,1,1204.5
3,2013-12-30,0,1246.25
3,2014-01-06,1,1227.5
3,2014-01-07,0,1221
3,2014-01-08,0,1226
3,2014-01-09,1,1244.25
3,2014-01-10,1,1236
3,2014-01-15,0,1241.5
3,2014-01-16,1,1250
3,2014-01-17,1,1238
3,2014-01-21,0,1241
3,2014-01-22,1,1263
3,2014-01-23,1,1267
3,2014-01-24,1,1260.5
3,2014-01-27,0,1251.25
3,2014-01-28,0,1264
3,2014-01-29,1,1242.5
3,2014-01-30,0,1259.25
3,2014-02-07,1,1277
3,2014-02-10,1,1296
3,2014-02-13,1,1320
3,2014-02-14,1,1320.75
3,2014-02-18,1,1316.25
3,2014-02-20,0,1323.25
3,2014-02-21,1,1334.75
3,2014-02-24,1,1339
3,2014-02-25,1,1349.5
3,2014-03-03,1,1334.75
3,2014-03-04,0,1344
3,2014-03-10,1,1346.25
3,2014-03-11,1,1366
3,2014-03-12,1,1368.75
3,2014-03-13,1,1385
3,2014-03-14,1,1355.75
3,2014-03-18,0,1338
3,2014-03-19,0,1327
3,2014-03-20,0,1310.75
3,2014-03-24,0,1313.5
3,2014-03-25,1,1304
3,2014-03-26,0,1296
3,2014-03-27,0,1294.75
3,2014-03-28,0,1297.25
3,2014-04-04,1,1301.75
3,2014-04-09,1,1320.5
3,2014-04-10,1,1318
3,2014-04-11,0,1298
3,2014-04-15,0,1301.5
3,2014-04-16,1,1299
3,2014-04-17,0,1286.75
3,2014-04-22,0,1285.25
3,2014-04-23,0,1301.25
3,2014-04-25,1,1299
3,2014-04-28,0,1288.5
3,2014-04-30,0,1296
3,2014-05-07,1,1287
3,2014-05-08,0,1291.25
3,2014-05-09,1,1296.5
3,2014-05-13,1,1299
3,2014-05-15,1,1291.5
3,2014-05-16,0,1302
3,2014-05-19,1,1295.5
3,2014-05-20,0,1287.25
3,2014-05-21,0,1298.5
3,2014-05-22,1,1291.5
3,2014-05-23,0,1275.5
3,2014-05-27,0,1263.5
3,2014-05-28,0,1255
3,2014-05-29,0,1250.5
3,2014-05-30,0,1242.75
3,2014-06-03,0,1245.25
3,2014-06-04,1,1252.5
3,2014-06-05,1,1247.5
3,2014-06-06,0,1253.5
3,2014-06-09,1,1259.5
3,2014-06-10,1,1262
3,2014-06-11,1,1265.75
3,2014-06-12,1,1273
3,2014-06-13,1,1276.25
3,2014-06-16,1,1267.5
3,2014-06-17,0,1269.75
3,2014-06-18,1,1293
3,2014-06-19,1,1312.5
3,2014-06-20,1,1313.5
3,2014-06-23,1,1318.5
3,2014-06-24,1,1316.75
3,2014-06-25,0,1317.5
3,2014-06-27,1,1315
3,2014-06-30,0,1327.5
3,2014-07-01,1,1326.5
3,2014-07-02,0,1317.5
3,2014-07-03,0,1313
3,2014-07-07,0,1323
3,2014-07-08,1,1322.75
3,2014-07-09,0,1340.25
3,2014-07-10,1,1306
3,2014-07-14,0,1310
3,2014-07-15,1,1301
3,2014-07-16,0,1302.5
3,2014-07-17,1,1307.25
3,2014-07-18,1,1310.25
3,2014-07-22,1,1308
3,2014-07-23,0,1292.75
3,2014-07-24,0,1294.75
3,2014-07-25,1,1304.5
3,2014-07-28,1,1285.25
3,2014-07-31,0,1291.25
3,2014-08-01,1,1290.5
3,2014-08-04,0,1305.25
3,2014-08-07,1,1309.75
3,2014-08-08,1,1315.75
3,2014-08-12,1,1312
3,2014-08-13,0,1313.5
3,2014-08-14,1,1296.5
3,2014-08-19,0,1295
3,2014-08-20,0,1277.25
3,2014-08-22,0,1286
3,2014-08-26,1,1282.75
3,2014-08-27,0,1292
3,2014-08-28,1,1267
3,2014-09-02,0,1265.5
3,2014-09-03,0,1271.5
3,2014-09-04,1,1266
3,2014-09-05,0,1255.75
